"option_id","parameter_id","procedure_id","procedure_stable_key","procedure_stable_id","db_id.x","procedure_name","procedure_desc","major_version.x","minor_version.x","is_mandatory","level","stage","stage_label","parameter_stable_id","db_id.y","parameter_name","description.x","major_version.y","minor_version.y","unit","datatype","parameter_type","formula","required","metadata","important","derived","annotate","increment","options","sequence","media","data_analysis","data_analysis_notes","stable_key","option_name","description.y","normal"
NA,5,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_005_001",6,"Experimenter ID","experimenter_id",1,0," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,0,0,0,0,"",2104,NA,NA,NA
NA,6,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_006_001",6,"Date equipment last calibrated","",1,2," ","DATE","procedureMetadata",NA,0,1,0,0,0,0,0,0,0,0,"",2171,NA,NA,NA
8,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"AV2101","",NA
9,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"SI-2002","",NA
10,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"SL-3100D","",NA
11,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"TP-202","",NA
12,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"PG3001-S","",NA
13,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"Adventurer Pro","",NA
14,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"440-47N","",NA
15,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"AM100","",NA
16,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"XS802S","",NA
17,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"AB104-S","",NA
18,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"AV212C","",NA
19,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"PCB2000-1","",NA
20,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"440-33","",NA
21,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"440-47","",NA
22,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"572-35","",NA
23,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"770-14","",NA
24,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"EMB220-1","",NA
25,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"EMB500-1","",NA
26,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"EMB600-2","",NA
27,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"EW600-2M","",NA
28,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"BL310","",NA
29,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"Navigator 34120","",NA
30,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"AV213C","",NA
31,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"VIC-511","",NA
32,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"VIC-123","",NA
33,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"BP6100","",NA
34,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"CPA3202S","",NA
35,7,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_007_001",6,"Equipment model","",1,1," ","TEXT","procedureMetadata",NA,1,1,0,0,0,0,1,0,0,0,"",2356,"EMB 200-2","",NA
NA,8,1,103,"IMPC_BWT_001",6,"Body Weight","The body weight test measures the weight of the mouse in a time series, allowing monitoring of its evolution; also, it is required in many other procedures.",1,2,1,"experiment","Adult","Unrestricted","IMPC_BWT_008_001",6,"Body weight curve","Derivation to collect all body weights measured (when available) and plot them correctly as time series.",1,0,"g","FLOAT","simpleParameter","IMPC_GRS_003_001 IMPC_CAL_001_001 IMPC_DXA_001_001 IMPC_HWT_007_001 IMPC_PAT_049_001 IMPC_BWT_001_001 IMPC_ABR_001_001 IMPC_CHL_001_001 TCP_CHL_001_001 HMGU_ROT_004_001 PLOT_ALL_PARAMETERS_AS_TIMESERIES",0,0,0,1,0,0,0,0,0,0,"",4276,NA,NA,NA
NA,9,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_001_001",6,"Submitter ID","submitter_id",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",4181,NA,NA,NA
NA,10,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_002_001",6,"Phenotyping project(s)","phenotyping_project_s",1,0," ","TEXT","seriesParameter",NA,0,0,0,0,0,1,0,0,0,0,"",4182,NA,NA,NA
NA,11,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_003_001",6,"Pipeline ID(s)","pipeline_id_s",1,0," ","TEXT","seriesParameter",NA,1,0,0,0,0,1,0,0,0,0,"",4183,NA,NA,NA
NA,12,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_004_001",6,"Start Date","start_date",1,0," ","DATE","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",4184,NA,NA,NA
NA,13,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_005_001",6,"End Date","end_date",1,0," ","DATE","simpleParameter",NA,0,0,0,0,0,0,0,0,0,0,"",4185,NA,NA,NA
NA,14,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_006_001",6,"Stage of the pipeline(s) - Start Week","stage_of_the_pipeline_s_start_week",1,0," ","INT","simpleParameter",NA,0,0,0,0,0,0,0,0,0,0,"",4186,NA,NA,NA
NA,15,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_007_001",6,"Stage of the pipeline(s) - End Week","stage_of_the_pipeline_s_end_week",1,0," ","INT","simpleParameter",NA,0,0,0,0,0,0,0,0,0,0,"",4187,NA,NA,NA
NA,16,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_008_001",6,"Procedure IDs associated with this block","procedure_ids_associated_with_this_stage_of_the_pipeline_s",1,4," ","TEXT","seriesParameter",NA,0,0,0,0,0,1,0,0,0,0,"",4188,NA,NA,NA
36,17,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_009_001",6,"Housing - temperature regulated","housing_temperature_regulated",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4189,"Yes","",NA
37,17,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_009_001",6,"Housing - temperature regulated","housing_temperature_regulated",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4189,"No","",NA
NA,18,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_010_001",6,"Housing - temperature range - Minimum","housing_temperature_range_minimum",1,0,"C","FLOAT","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",4190,NA,NA,NA
NA,19,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_011_001",6,"Housing - temperature range - Maximum","housing_temperature_range_maximum",1,0,"C","FLOAT","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",4191,NA,NA,NA
38,20,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_012_001",6,"Housing - relative humidity regulated","housing_relative_humidity_regulated",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4192,"Yes","",NA
39,20,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_012_001",6,"Housing - relative humidity regulated","housing_relative_humidity_regulated",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4192,"No","",NA
40,20,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_012_001",6,"Housing - relative humidity regulated","housing_relative_humidity_regulated",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4192,"Seasonally (not in winter)","",NA
NA,21,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_013_001",6,"Housing - relative humidity range - Minimum","housing_relative_humidity_range_minimum",1,0,"%","INT","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",4193,NA,NA,NA
NA,22,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_014_001",6,"Housing - relative humidity range - Maximum","housing_relative_humidity_range_maximum",1,0,"%","INT","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",4194,NA,NA,NA
41,23,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_015_001",6,"Housing - ventilation managed","housing_ventilation_managed",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4195,"Negative","",NA
42,23,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_015_001",6,"Housing - ventilation managed","housing_ventilation_managed",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4195,"Positive","",NA
43,23,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_015_001",6,"Housing - ventilation managed","housing_ventilation_managed",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4195,"Passive","",NA
NA,24,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_016_001",6,"Housing - air changes per hour in the room - Minimum","housing_air_changes_per_hour_in_the_room_minimum",1,0," ","FLOAT","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",4196,NA,NA,NA
NA,25,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_017_001",6,"Housing - air changes per hour in the room - Maximum","housing_air_changes_per_hour_in_the_room_maximum",1,0," ","FLOAT","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",4197,NA,NA,NA
NA,26,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_018_001",6,"Housing - air changes per hour in the room - Units","housing_air_changes_per_hour_in_the_room_units",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",4198,NA,NA,NA
44,27,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_019_001",6,"Housing - IVC ventilation","housing_ivc_ventilation",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4199,"Yes","",NA
45,27,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_019_001",6,"Housing - IVC ventilation","housing_ivc_ventilation",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4199,"No","",NA
NA,28,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_020_001",6,"Housing - air changes per hour in the IVC unit - Minimum","housing_air_changes_per_hour_in_the_ivc_unit_minimum",1,0," ","FLOAT","simpleParameter",NA,0,0,0,0,0,0,0,0,0,0,"",4200,NA,NA,NA
NA,29,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_021_001",6,"Housing - air changes per hour in the IVC unit - Maximum","housing_air_changes_per_hour_in_the_ivc_unit_maximum",1,0," ","FLOAT","simpleParameter",NA,0,0,0,0,0,0,0,0,0,0,"",4201,NA,NA,NA
NA,30,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_022_001",6,"Housing - air changes per hour in the IVC unit - Units","housing_air_changes_per_hour_in_the_ivc_unit_units",1,0," ","TEXT","simpleParameter",NA,0,0,0,0,0,0,0,0,0,0,"",4202,NA,NA,NA
46,31,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_023_001",6,"Housing - light source","housing_light_source",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4203,"LED","",NA
47,31,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_023_001",6,"Housing - light source","housing_light_source",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4203,"Florescent","",NA
48,31,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_023_001",6,"Housing - light source","housing_light_source",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4203,"Incandescent","",NA
49,32,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_024_001",6,"Housing - can you quantify the light intensity range experienced","housing_can_you_quantify_the_light_intensity_range_experienced",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4204,"Yes","",NA
50,32,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_024_001",6,"Housing - can you quantify the light intensity range experienced","housing_can_you_quantify_the_light_intensity_range_experienced",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,1,0,0,0,"",4204,"No","",NA
NA,33,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_025_001",6,"Housing - light intensity range - Minimum","housing_light_intensity_range_minimum",1,0,"Lux","INT","simpleParameter",NA,0,0,0,0,0,0,0,0,0,0,"",4205,NA,NA,NA
NA,34,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_026_001",6,"Housing - light intensity range - Maximum","housing_light_intensity_range_maximum",1,0,"Lux","INT","simpleParameter",NA,0,0,0,0,0,0,0,0,0,0,"",4206,NA,NA,NA
NA,35,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_027_001",6,"Housing - time lights switched on","housing_time_lights_switched_on",1,0," ","TIME","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",4207,NA,NA,NA
NA,36,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_028_001",6,"Housing - time lights switched off","housing_time_lights_switched_off",1,0," ","TIME","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",4208,NA,NA,NA
NA,37,2,173,"IMPC_HOU_001",6,"Housing and Husbandry","",1,0,0,"housing","Adult","Unrestricted","IMPC_HOU_029_001",6,"Housing - cage manufacturer and racking system","housing_cage_manufacturer_and_racking_system",1,0," ","TEXT","simpleParameter",NA,1,0,0,0,0,0,0,0,0,0,"",4209,NA,NA,NA
